county,state,ssa,fips
AUTAUGA,AL,01000,01001
BALDWIN,AL,01010,01003
BARBOUR,AL,01020,01005
BIBB,AL,01030,01007
BLOUNT,AL,01040,01009
BULLOCK,AL,01050,01011
BUTLER,AL,01060,01013
CALHOUN,AL,01070,01015
CHAMBERS,AL,01080,01017
CHEROKEE,AL,01090,01019
CHILTON,AL,01100,01021
CHOCTAW,AL,01110,01023
CLARKE,AL,01120,01025
CLAY,AL,01130,01027
CLEBURNE,AL,01140,01029
COFFEE,AL,01150,01031
COLBERT,AL,01160,01033
CONECUH,AL,01170,01035
COOSA,AL,01180,01037
COVINGTON,AL,01190,01039
CRENSHAW,AL,01200,01041
CULLMAN,AL,01210,01043
DALE,AL,01220,01045
DALLAS,AL,01230,01047
DE KALB,AL,01240,01049
ELMORE,AL,01250,01051
ESCAMBIA,AL,01260,01053
ETOWAH,AL,01270,01055
FAYETTE,AL,01280,01057
FRANKLIN,AL,01290,01059
GENEVA,AL,01300,01061
GREENE,AL,01310,01063
HALE,AL,01320,01065
HENRY,AL,01330,01067
HOUSTON,AL,01340,01069
JACKSON,AL,01350,01071
JEFFERSON,AL,01360,01073
LAMAR,AL,01370,01075
LAUDERDALE,AL,01380,01077
LAWRENCE,AL,01390,01079
LEE,AL,01400,01081
LIMESTONE,AL,01410,01083
LOWNDES,AL,01420,01085
MACON,AL,01430,01087
MADISON,AL,01440,01089
MARENGO,AL,01450,01091
MARION,AL,01460,01093
MARSHALL,AL,01470,01095
MOBILE,AL,01480,01097
MONROE,AL,01490,01099
MONTGOMERY,AL,01500,01101
MORGAN,AL,01510,01103
PERRY,AL,01520,01105
PICKENS,AL,01530,01107
PIKE,AL,01540,01109
RANDOLPH,AL,01550,01111
RUSSELL,AL,01560,01113
ST. CLAIR,AL,01570,01115
SHELBY,AL,01580,01117
SUMTER,AL,01590,01119
TALLADEGA,AL,01600,01121
TALLAPOOSA,AL,01610,01123
TUSCALOOSA,AL,01620,01125
WALKER,AL,01630,01127
KEITH,NE,28500,31101
WASHINGTON,AL,01640,01129
WILCOX,AL,01650,01131
WINSTON,AL,01660,01133
STATEWIDE,AL,01999,01990
ALEUTIANS EAST,AK,02013,02013
ALEUTIANS WEST,AK,02016,02016
ANCHORAGE,AK,02020,02020
BETHEL,AK,02050,02050
BRISTOL BAY BOROUGH,AK,02060,02060
DENALI,AK,02068,02068
DILLINGHAM,AK,02070,02070
FAIRBANKS NORTH STAR,AK,02090,02090
HAINES,AK,02100,02100
HOONAH-ANGOON CENSUS AREA,AK,02105,02105
JUNEAU,AK,02110,02110
KENAI PENINSULA,AK,02122,02122
KETCHIKAN GATEWAY,AK,02130,02130
KODIAK ISLAND BOROUGH,AK,02150,02150
LAKE AND PENINSULA,AK,02164,02164
MATANUSKA-SUSITNA,AK,02170,02170
NOME,AK,02180,02180
NORTH SLOPE BOROUH,AK,02185,02185
NORTHWEST ARTIC BOROUGH,AK,02188,02188
PETERSBURG CENSUS AREA,AK,02195,02195
PR.OF WALES-HYDER CNS AREA,AK,02198,02198
SITKA BOROUGH,AK,02220,02220
SKAGWAY-YAKUTAT,AK,02230,02230
SOUTHEAST FAIRBANKS,AK,02240,02240
VALDEZ-CORDOVA,AK,02261,02261
WADE HAMPTON,AK,02270,02270
WRANGELL CITY AND BOROUGH,AK,02275,02275
YAKUTAT BOROUGH,AK,02282,02282
YUKON-KOYUKUK,AK,02290,02290
STATEWIDE,AK,02999,02990
APACHE,AZ,03000,04001
COCHISE,AZ,03010,04003
COCONINO,AZ,03020,04005
GILA,AZ,03030,04007
GRAHAM,AZ,03040,04009
GREENLEE,AZ,03050,04011
LAPAZ,AZ,03055,04012
MARICOPA,AZ,03060,04013
MOHAVE,AZ,03070,04015
NAVAJO,AZ,03080,04017
PIMA,AZ,03090,04019
PINAL,AZ,03100,04021
SANTA CRUZ,AZ,03110,04023
YAVAPAI,AZ,03120,04025
YUMA,AZ,03130,04027
STATEWIDE,AZ,03999,04990
ARKANSAS,AR,04000,05001
ASHLEY,AR,04010,05003
BAXTER,AR,04020,05005
BENTON,AR,04030,05007
BOONE,AR,04040,05009
BRADLEY,AR,04050,05011
CALHOUN,AR,04060,05013
CARROLL,AR,04070,05015
CHICOT,AR,04080,05017
CLARK,AR,04090,05019
CLAY,AR,04100,05021
CLEBURNE,AR,04110,05023
CLEVELAND,AR,04120,05025
COLUMBIA,AR,04130,05027
CONWAY,AR,04140,05029
CRAIGHEAD,AR,04150,05031
CRAWFORD,AR,04160,05033
CRITTENDEN,AR,04170,05035
CROSS,AR,04180,05037
DALLAS,AR,04190,05039
DESHA,AR,04200,05041
DREW,AR,04210,05043
FAULKNER,AR,04220,05045
FRANKLIN,AR,04230,05047
FULTON,AR,04240,05049
GARLAND,AR,04250,05051
GRANT,AR,04260,05053
GREENE,AR,04270,05055
HEMPSTEAD,AR,04280,05057
HOT SPRING,AR,04290,05059
HOWARD,AR,04300,05061
INDEPENDENCE,AR,04310,05063
IZARD,AR,04320,05065
JACKSON,AR,04330,05067
JEFFERSON,AR,04340,05069
JOHNSON,AR,04350,05071
LAFAYETTE,AR,04360,05073
LAWRENCE,AR,04370,05075
LEE,AR,04380,05077
LINCOLN,AR,04390,05079
LITTLE RIVER,AR,04400,05081
LOGAN,AR,04410,05083
LONOKE,AR,04420,05085
MADISON,AR,04430,05087
MARION,AR,04440,05089
MILLER,AR,04450,05091
MISSISSIPPI,AR,04460,05093
MONROE,AR,04470,05095
MONTGOMERY,AR,04480,05097
NEVADA,AR,04490,05099
NEWTON,AR,04500,05101
OUACHITA,AR,04510,05103
PERRY,AR,04520,05105
PHILLIPS,AR,04530,05107
PIKE,AR,04540,05109
POINSETT,AR,04550,05111
POLK,AR,04560,05113
